Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,85126923,16/07/2025 02:35,16/07/2025 16:37,XAUUSD,Sell,0.050,0.00000,0.00000,3330.17000,3328.20000,0.0000,0.0000,197.0,9.85,0.05,"",0,00:14:01:38,27.0,3h 47m,1738.0,2.51,495.0,24.75,-1243.0,-62.150000000000006,28.5,82.9,-298.00,-14.90
,85177088,16/07/2025 05:07,16/07/2025 16:37,XAUUSD,Sell,0.100,0.00000,0.00000,3328.53000,3328.14000,0.0000,0.0000,39.0,3.90,0.02,"",0,00:11:29:29,0.2,1m,1407.0,36.10,39.0,3.9000000000000004,-1407.0,-140.70000000000002,2.7,100.0,0.00,0.00
,85209224,16/07/2025 06:32,16/07/2025 16:37,XAUUSD,Sell,0.100,0.00000,0.00000,3333.64000,3329.09000,0.0000,0.0000,455.0,45.50,0.21,"",0,00:10:04:13,33.1,3h 19m,896.0,1.76,510.0,51.0,-896.0,-89.60000000000001,36.3,96.1,-55.00,-5.50
,85229208,16/07/2025 07:34,16/07/2025 16:37,XAUUSD,Sell,0.100,0.00000,0.00000,3336.65000,3329.24000,0.0000,0.0000,741.0,74.10,0.34,"",0,00:09:02:48,54.4,4h 55m,818.0,0.73,811.0,81.10000000000001,-595.0,-59.5,57.7,95.0,-70.00,-7.00
,85229244,16/07/2025 07:34,16/07/2025 16:37,XAUUSD,Sell,0.100,0.00000,0.00000,3336.82000,3329.33000,0.0000,0.0000,749.0,74.90,0.35,"",0,00:09:02:40,55.6,5h 1m,818.0,0.70,828.0,82.80000000000001,-578.0,-57.800000000000004,58.9,94.4,-79.00,-7.90
,85236547,16/07/2025 07:57,16/07/2025 16:36,XAUUSD,Sell,0.100,0.00000,0.00000,3338.31000,3329.12000,0.0000,0.0000,919.0,91.90,0.43,"",0,00:08:39:41,64.8,5h 36m,818.0,0.44,977.0,97.7,-429.0,-42.900000000000006,69.5,95.9,-58.00,-5.80
,85245796,16/07/2025 09:06,16/07/2025 16:36,XAUUSD,Sell,0.100,0.00000,0.00000,3340.36000,3329.32000,0.0000,0.0000,1104.0,110.40,0.52,"",0,00:07:30:30,92.9,6h 58m,818.0,0.10,1182.0,118.2,-121.0,-12.100000000000001,90.7,94.0,-78.00,-7.80
,85229412,16/07/2025 07:34,16/07/2025 09:07,XAUUSD,Buy,0.100,0.00000,0.00000,3337.40000,3340.00000,0.0000,0.0000,260.0,26.00,0.12,"",0,00:01:33:02,1.1,1m,0.0,0.00,260.0,26.0,0.0,0.0,100.0,100.0,0.00,0.00
,84984902,15/07/2025 18:29,16/07/2025 07:34,XAUUSD,Buy,0.050,0.00000,0.00000,3333.79000,3337.23000,0.0000,0.0000,344.0,17.20,0.08,"",0,00:13:05:08,30.4,3h 58m,964.0,2.62,347.0,17.35,-909.0,-45.45,27.6,99.8,-3.00,-0.15
,84985280,15/07/2025 18:29,16/07/2025 07:34,XAUUSD,Buy,0.050,0.00000,0.00000,3333.64000,3336.83000,0.0000,0.0000,319.0,15.95,0.08,"",0,00:13:05:03,30.8,4h 1m,964.0,2.47,362.0,18.1,-894.0,-44.7,28.8,96.6,-43.00,-2.15
