Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,215485573,20/03/2026 00:34,20/03/2026 03:44,GOLD,Buy,1.100,0.00000,0.00000,4653.60000,4682.57000,0.0000,0.0000,2897.0,31.87,2.77,"",0,00:03:09:36,,,,,,,,,,,,
,215485428,20/03/2026 00:20,20/03/2026 00:34,GOLD,Sell,1.100,0.00000,4653.80000,4669.43000,4653.60000,0.0000,0.0000,1583.0,17.41,1.53,"[tp 4653.80]",0,00:00:13:49,,,,,,,,,,,,
,215200220,19/03/2026 16:11,20/03/2026 00:06,GOLD,Buy,1.000,0.00000,0.00000,4644.00000,4661.86000,0.0000,-1.4100,1786.0,16.45,1.47,"",0,00:07:54:49,,,,,,,,,,,,
,215214285,19/03/2026 16:21,19/03/2026 21:06,GOLD,Buy,1.000,0.00000,4650.45000,4608.40000,4650.50000,0.0000,0.0000,4210.0,42.10,3.91,"[tp 4650.45]",0,00:04:45:32,,,,,,,,,,,,
,215330908,19/03/2026 18:16,19/03/2026 21:02,GOLD,Buy,1.000,0.00000,4647.45000,4601.49000,4647.95000,0.0000,0.0000,4646.0,46.46,4.51,"[tp 4647.45]",0,00:02:45:45,,,,,,,,,,,,
,215305820,19/03/2026 17:51,19/03/2026 17:56,GOLD,Buy,1.000,0.00000,0.00000,4590.43000,4606.80000,0.0000,0.0000,1637.0,16.37,1.62,"",0,00:00:05:35,,,,,,,,,,,,
,215225937,19/03/2026 16:31,19/03/2026 17:56,GOLD,Buy,1.000,0.00000,0.00000,4585.02000,4607.61000,0.0000,0.0000,2259.0,22.59,2.28,"",0,00:01:25:36,,,,,,,,,,,,
,215300812,19/03/2026 17:46,19/03/2026 17:51,GOLD,Sell,1.000,4589.88000,0.00000,4567.99000,4590.11000,0.0000,0.0000,-2212.0,-22.12,-2.18,"[sl 4589.88]",0,00:00:04:33,,,,,,,,,,,,
,215304490,19/03/2026 17:50,19/03/2026 17:51,GOLD,Sell,1.000,4589.23000,0.00000,4583.70000,4589.68000,0.0000,0.0000,-598.0,-5.98,-0.59,"[sl 4589.23]",0,00:00:00:50,,,,,,,,,,,,
,215208155,19/03/2026 16:16,19/03/2026 16:18,GOLD,Sell,1.000,0.00000,0.00000,4622.28000,4613.99000,0.0000,0.0000,829.0,8.29,0.82,"",0,00:00:02:19,,,,,,,,,,,,
