Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,182570410,04/05/2026 13:03,04/05/2026 13:08,XAUUSD,Sell,0.500,0.00000,0.00000,4555.58000,4544.19000,0.0000,0.0000,1139.0,569.50,1.92,"",0,00:00:04:28,,,,,,,,,,,,
,182570354,04/05/2026 13:03,04/05/2026 13:08,XAUUSD,Sell,0.500,0.00000,0.00000,4555.72000,4544.21000,0.0000,0.0000,1151.0,575.50,1.97,"",0,00:00:04:28,,,,,,,,,,,,
,182570302,04/05/2026 13:03,04/05/2026 13:08,XAUUSD,Sell,0.500,0.00000,0.00000,4555.96000,4544.21000,0.0000,0.0000,1175.0,587.50,2.06,"",0,00:00:04:29,,,,,,,,,,,,
,182570255,04/05/2026 13:03,04/05/2026 13:08,XAUUSD,Sell,0.500,0.00000,0.00000,4555.87000,4544.19000,0.0000,0.0000,1168.0,584.00,2.09,"",0,00:00:04:29,,,,,,,,,,,,
,182570228,04/05/2026 13:03,04/05/2026 13:08,XAUUSD,Sell,0.500,0.00000,0.00000,4556.42000,4544.20000,0.0000,0.0000,1222.0,611.00,2.23,"",0,00:00:04:29,,,,,,,,,,,,
,186463681,04/05/2026 13:02,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,13831.00,0,"Transfer from Wallet",0,00:00:00:00,,,,,,,,,,,,
,182133114,01/05/2026 17:36,04/05/2026 13:02,XAUUSD,Buy,0.500,0.00000,0.00000,4639.15000,4565.58000,0.0000,-33.5500,-7357.0,-3712.05,-21.52,"[so 19.94%/643.73/3228.85]",0,02:19:26:48,0.0,0s,9403.0,10000.00,0.0,0.0,-9403.0,-4701.5,0.0,21.8,-7357.00,-3678.50
,182125144,01/05/2026 17:25,04/05/2026 13:02,XAUUSD,Buy,0.500,0.00000,0.00000,4647.80000,4566.15000,0.0000,-33.5500,-8165.0,-4116.05,-19.26,"[so 19.47%/719.23/3693.63]",0,02:19:37:26,0.0,0s,10268.0,0.00,0.0,0.0,-10268.0,-5134.0,0.0,20.5,-8165.00,-4082.50
,182124080,01/05/2026 17:22,04/05/2026 13:02,XAUUSD,Buy,0.500,0.00000,0.00000,4657.85000,4566.12000,0.0000,-33.5500,-9173.0,-4620.05,-17.78,"[so 19.98%/831.23/4159.42]",0,02:19:39:39,0.0,0s,11273.0,0.00,0.0,0.0,-11273.0,-5636.5,0.0,18.6,-9173.00,-4586.50
,182045352,01/05/2026 15:25,01/05/2026 15:41,XAUUSD,Sell,0.500,0.00000,0.00000,4604.14000,4594.77000,0.0000,0.0000,937.0,468.50,1.84,"",0,00:00:15:45,,,,,,,,,,,,
,182043098,01/05/2026 15:24,01/05/2026 15:41,XAUUSD,Sell,0.500,0.00000,0.00000,4595.50000,4594.79000,0.0000,0.0000,71.0,35.50,0.14,"",0,00:00:17:36,,,,,,,,,,,,
,182040198,01/05/2026 15:20,01/05/2026 15:41,XAUUSD,Sell,0.500,0.00000,0.00000,4589.08000,4594.67000,0.0000,0.0000,-559.0,-279.50,-1.08,"",0,00:00:20:56,,,,,,,,,,,,
,182030100,01/05/2026 15:06,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4578.24000,4586.05000,0.0000,0.0000,781.0,390.50,1.54,"",0,00:00:07:49,,,,,,,,,,,,
,181997335,01/05/2026 12:58,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4562.18000,4586.03000,0.0000,0.0000,2385.0,1192.50,4.93,"",0,00:02:15:33,100.0,2h 15m,1687.0,0.00,4072.0,2036.0,0.0,0.0,100.0,58.6,-1687.00,-843.50
,181977862,01/05/2026 11:53,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4566.90000,4586.02000,0.0000,0.0000,1912.0,956.00,4.12,"",0,00:03:21:15,100.0,3h 21m,1688.0,0.00,3600.0,1800.0,0.0,0.0,100.0,53.1,-1688.00,-844.00
,181968314,01/05/2026 11:19,01/05/2026 15:14,XAUUSD,Buy,0.500,0.00000,0.00000,4572.63000,4586.05000,0.0000,0.0000,1342.0,671.00,2.98,"",0,00:03:55:18,62.5,2h 27m,1685.0,0.19,3027.0,1513.5,-567.0,-283.5,84.2,53.1,-1685.00,-842.50
