Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,51624922,02/05/2025 07:42,02/05/2025 16:08,XAUUSD,Sell,0.500,0.00000,0.00000,3253.54000,3240.99000,0.0000,0.0000,1255.0,627.50,0.40,"",0,00:08:25:48,,,,,,,,,,,,
,51669782,02/05/2025 09:25,02/05/2025 16:08,XAUUSD,Sell,0.500,0.00000,0.00000,3260.81000,3241.03000,0.0000,0.0000,1978.0,989.00,0.63,"",0,00:06:43:17,,,,,,,,,,,,
,51771910,02/05/2025 12:45,02/05/2025 16:08,XAUUSD,Sell,0.500,0.00000,0.00000,3266.27000,3240.67000,0.0000,0.0000,2560.0,1280.00,0.82,"",0,00:03:23:04,,,,,,,,,,,,
,50701035,01/05/2025 03:31,02/05/2025 12:45,XAUUSD,Buy,0.500,0.00000,0.00000,3253.04000,3266.20000,0.0000,0.0000,1316.0,658.00,0.42,"",0,01:09:14:10,,,,,,,,,,,,
,51564187,02/05/2025 05:19,02/05/2025 07:42,XAUUSD,Buy,0.500,0.00000,0.00000,3247.20000,3253.38000,0.0000,0.0000,618.0,309.00,0.20,"",0,00:02:23:06,,,,,,,,,,,,
,51542308,02/05/2025 04:36,02/05/2025 06:28,XAUUSD,Sell,0.500,3254.04000,0.00000,3232.73000,3254.11000,0.0000,0.0000,-2138.0,-1069.00,-0.68,"[sl 3254.04]",0,00:01:52:01,,,,,,,,,,,,
,51496049,02/05/2025 03:09,02/05/2025 06:27,XAUUSD,Sell,0.500,3252.87000,0.00000,3238.47000,3252.91000,0.0000,0.0000,-1444.0,-722.00,-0.46,"[sl 3252.87]",0,00:03:18:00,,,,,,,,,,,,
,51562976,02/05/2025 05:18,02/05/2025 06:18,XAUUSD,Sell,0.500,3252.34000,0.00000,3245.95000,3252.31000,0.0000,0.0000,-636.0,-318.00,-0.20,"[sl 3252.34]",0,00:00:59:32,,,,,,,,,,,,
,50502824,30/04/2025 18:50,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.72400,59.98200,0.0000,0.0000,125.8,629.00,0.40,"",0,01:10:31:32,,,,,,,,,,,,
,50502823,30/04/2025 18:50,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.72400,59.98200,0.0000,0.0000,125.8,629.00,0.40,"",0,01:10:31:29,,,,,,,,,,,,
,50502443,30/04/2025 18:50,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.72400,59.97700,0.0000,0.0000,125.3,626.50,0.40,"",0,01:10:32:00,,,,,,,,,,,,
,50502849,30/04/2025 18:50,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.71400,59.97200,0.0000,0.0000,125.8,629.00,0.41,"",0,01:10:31:24,,,,,,,,,,,,
,50504938,30/04/2025 18:52,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.55400,59.97700,0.0000,0.0000,142.3,711.50,0.46,"",0,01:10:30:12,,,,,,,,,,,,
,50509998,01/05/2025 09:51,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.04700,59.97200,0.0000,0.0000,192.5,962.50,0.63,"",0,00:19:31:03,,,,,,,,,,,,
,50506521,01/05/2025 09:51,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,58.04700,59.97200,0.0000,0.0000,192.5,962.50,0.63,"",0,00:19:31:01,,,,,,,,,,,,
,51072635,01/05/2025 13:10,02/05/2025 05:22,USOUSD,Buy,0.500,0.00000,0.00000,56.75200,59.97200,0.0000,0.0000,322.0,1610.00,1.07,"",0,00:16:11:49,,,,,,,,,,,,
,50839841,01/05/2025 06:32,02/05/2025 05:18,XAUUSD,Buy,0.500,0.00000,0.00000,3234.98000,3245.62000,0.0000,0.0000,1064.0,532.00,0.35,"",0,00:22:45:41,,,,,,,,,,,,
